sexo,est.civil,sede,gpo.prof,class,zona,r.edad
0,2,0,15,4,4,3
0,2,0,15,4,8,5
1,2,0,15,4,4,2
0,2,0,15,4,4,1
0,2,0,15,4,4,5
1,2,1,15,4,2,2
0,0,0,15,4,4,4
0,2,0,15,4,4,5
1,2,0,15,4,4,2
0,2,0,15,4,8,5
0,2,0,15,4,5,3
0,2,0,15,4,4,1
0,2,0,15,4,8,5
0,2,0,15,4,4,2
0,2,0,15,4,4,3
1,0,0,15,4,7,5
1,2,0,15,4,4,4
0,2,0,15,4,4,1
0,2,0,15,4,2,2
0,2,0,15,4,2,2
0,2,0,15,4,4,1
0,2,0,15,4,3,2
0,2,0,15,4,4,3
0,2,0,15,4,4,2
0,2,0,15,4,8,4
0,2,0,15,4,4,4
0,2,1,15,4,4,3
0,2,0,15,4,4,1
1,2,0,15,4,4,1
0,2,0,15,4,4,2
1,2,0,15,4,4,1
0,0,0,15,4,7,1
0,2,0,15,4,4,2
0,2,0,15,4,4,2
0,2,0,15,4,4,2
0,2,0,15,4,5,2
0,2,1,15,4,1,1
0,2,0,15,4,4,4
1,2,0,15,4,3,1
0,2,0,15,4,4,5
0,0,0,18,4,4,2
0,2,0,13,4,4,4
1,0,0,16,4,4,4
0,2,0,16,4,4,3
0,2,0,16,4,4,2
0,2,0,16,4,4,2
0,1,0,16,4,3,2
1,0,0,4,4,4,5
0,0,0,16,4,4,4
0,2,0,4,4,4,1
0,2,0,14,4,4,2
0,2,0,8,4,0,2
0,2,0,8,4,0,2
0,2,0,8,4,0,2
0,0,0,8,4,4,3
1,2,0,8,4,4,3
0,2,0,8,4,4,3
0,2,0,8,4,4,3
0,0,0,8,4,4,4
0,0,0,8,4,4,3
0,0,0,18,4,4,4
0,1,0,18,4,4,2
0,2,0,18,4,4,3
0,2,0,18,4,4,4
0,2,0,18,4,8,2
0,2,0,13,4,4,3
0,2,0,13,4,4,3
0,2,0,13,4,4,3
0,0,0,13,4,4,3
0,2,0,13,4,4,2
0,0,0,13,4,4,3
0,2,1,13,4,4,1
0,2,0,16,4,4,2
0,2,0,16,4,4,3
0,0,0,2,4,4,4
0,0,0,2,4,4,4
0,0,0,2,4,4,4
0,0,0,2,4,4,3
0,0,0,2,4,4,3
0,2,0,2,4,4,4
0,2,0,2,4,4,4
0,0,0,2,4,4,3
0,0,0,2,4,4,4
0,2,0,2,4,3,2
0,2,0,2,4,3,2
0,0,0,2,4,4,3
0,2,0,2,4,8,5
0,2,0,2,4,8,5
0,0,0,2,4,4,3
0,2,0,2,4,3,2
0,2,0,2,4,4,2
0,2,0,20,4,4,3
1,2,0,18,4,5,2
0,0,0,16,4,4,3
0,0,0,16,4,4,3
0,0,0,16,4,4,3
0,2,0,16,4,4,2
0,2,0,16,4,4,3
0,2,0,16,4,4,3
1,2,0,16,4,4,2
1,2,0,2,4,5,1
0,2,0,9,4,8,4
0,2,0,9,4,4,2
1,2,0,9,4,4,2
0,2,0,0,4,4,2
0,2,0,13,4,4,1
0,0,0,5,4,4,5
0,2,0,5,4,7,3
0,2,0,5,4,7,1
0,2,0,5,4,4,1
0,2,0,5,4,4,1
0,2,0,22,4,4,1
0,2,0,22,4,4,1
0,2,0,22,4,4,1
1,2,0,2,4,4,2
1,0,0,2,4,4,3
0,2,0,2,4,4,3
0,0,0,2,4,4,3
0,2,0,2,4,3,3
1,2,0,10,4,1,2
1,2,0,10,4,1,2
0,2,0,0,4,5,1
1,2,0,0,4,4,1
0,2,0,0,4,4,1
0,2,0,0,4,4,2
0,1,0,0,4,4,4
0,2,0,0,4,4,1
0,2,0,6,4,4,2
0,2,0,6,4,4,2
0,2,0,6,4,4,3
0,2,0,6,4,4,3
0,2,0,6,4,4,1
0,2,0,6,4,3,1
0,2,0,6,4,3,1
0,2,0,6,4,3,1
0,2,0,6,4,8,2
1,2,0,0,4,4,2
1,2,0,0,4,4,1
1,2,0,0,4,4,1
1,0,0,0,4,4,3
1,0,0,0,4,4,3
0,2,0,0,4,4,2
1,2,0,0,4,4,2
1,2,0,0,4,3,2
1,0,0,0,4,4,2
0,2,0,0,4,8,2
0,2,0,0,4,3,2
1,0,0,0,4,8,2
1,0,0,0,4,4,3
1,2,0,0,4,4,2
0,2,0,0,4,4,3
0,2,0,0,4,4,3
1,2,0,0,4,4,4
0,2,0,0,4,8,3
0,2,0,0,4,7,2
0,2,0,0,4,4,2
0,2,0,0,4,4,3
0,0,0,0,4,4,5
0,0,0,0,4,1,2
0,2,0,0,4,4,1
1,2,0,0,4,4,2
0,2,0,0,4,4,1
1,2,0,16,4,4,2
0,2,0,4,4,4,3
1,2,0,6,4,5,1
0,2,2,6,4,1,2
0,0,0,6,4,7,4
0,0,0,6,4,7,4
0,2,0,6,4,7,1
1,2,0,6,4,4,1
0,0,0,6,4,5,3
0,2,0,6,4,4,2
1,2,0,7,4,4,2
1,2,0,7,4,8,2
0,2,0,7,4,4,2
0,2,0,7,4,4,4
0,2,0,7,4,4,3
0,2,0,7,4,5,1
0,2,0,7,4,4,1
0,2,0,7,4,7,1
0,0,0,2,4,4,3
1,2,0,2,4,7,2
0,2,0,9,4,4,2
1,2,0,9,4,4,2
1,2,0,9,4,4,2
1,2,0,9,4,4,2
0,2,0,9,4,4,2
0,2,0,9,4,4,2
0,2,0,9,4,4,1
0,2,1,9,4,4,1
1,2,0,9,4,4,2
1,2,0,9,4,4,2
1,2,0,9,4,8,2
1,2,0,9,4,2,2
1,2,0,9,4,2,2
1,2,0,9,4,2,2
1,2,0,9,4,2,2
0,2,0,9,4,8,5
0,2,0,9,4,8,2
1,2,0,2,4,4,1
1,2,0,12,4,2,3
1,2,0,12,4,8,2
0,2,0,12,4,4,2
0,2,0,12,4,4,1
1,2,0,12,4,4,3
1,2,0,15,4,4,3
1,2,0,15,4,4,2
1,2,0,15,4,4,4
1,2,0,15,4,5,2
0,2,0,15,4,8,2
0,2,0,15,4,4,2
1,2,0,15,4,4,3
1,2,0,15,4,4,5
0,2,0,15,4,2,1
1,2,0,15,4,8,5
0,2,0,15,4,4,3
1,2,0,15,4,4,2
0,2,0,15,4,3,1
0,2,0,15,4,8,1
1,2,0,15,4,5,5
0,2,0,15,4,4,1
1,2,0,15,4,4,1
0,2,0,21,4,4,1
0,0,0,18,4,7,4
0,2,0,0,4,4,1
0,0,0,2,4,4,4
1,2,0,15,4,3,1
1,2,0,5,4,2,4
1,2,0,5,4,2,4
0,0,0,5,4,4,4
1,2,0,2,4,5,2
1,0,0,0,4,7,4
1,2,0,1,4,4,4
1,2,0,1,4,4,4
1,2,0,1,4,3,3
1,2,0,1,4,4,2
1,2,0,2,4,7,3
1,2,0,8,4,2,4
0,2,0,9,4,4,4
1,1,0,9,4,4,3
1,2,0,12,4,4,2
1,2,0,15,4,3,1
1,2,0,16,4,8,4
1,2,0,16,4,7,4
1,2,0,5,4,2,1
1,2,1,5,4,4,1
1,2,1,5,4,4,1
1,2,0,5,4,4,1
1,2,0,5,4,4,1
0,2,0,2,4,4,4
0,2,0,0,4,4,2
1,2,0,0,4,8,2
0,2,0,0,4,4,2
0,2,0,9,4,4,1
0,2,0,9,4,4,1
0,2,1,9,4,7,1
1,2,0,9,4,4,2
0,2,1,9,4,4,1
0,2,0,9,4,4,2
1,2,0,9,4,4,4
1,2,0,9,4,4,2
1,0,0,12,4,4,4
0,2,0,15,4,4,5
1,2,0,15,4,4,1
0,2,0,15,4,4,2
0,2,0,15,4,3,1
1,0,0,5,2,1,3
0,0,0,5,2,4,5
0,2,0,2,2,2,1
0,2,0,2,2,8,1
0,0,0,2,2,4,3
0,2,0,2,2,7,4
1,2,0,2,2,4,4
0,2,0,0,2,4,1
0,2,0,3,2,4,2
1,2,0,4,2,4,2
0,2,0,4,2,3,2
0,2,0,4,2,3,2
1,2,0,4,2,4,2
0,0,0,4,2,4,2
0,2,0,4,2,4,2
1,2,0,4,2,6,2
0,2,0,4,2,4,1
0,2,0,4,2,4,3
1,2,0,7,2,4,3
0,0,0,7,2,4,3
1,2,0,7,2,4,2
1,0,0,7,2,4,2
0,2,0,7,2,4,1
1,2,0,7,2,4,1
0,0,0,7,2,4,3
1,2,0,7,2,1,2
0,2,0,7,2,4,2
0,0,0,7,2,2,3
1,2,0,7,2,1,3
0,2,0,9,2,4,2
0,2,0,9,2,3,1
0,2,0,9,2,4,1
1,2,0,9,2,7,1
1,2,0,9,2,4,2
0,0,0,9,2,4,1
0,0,0,9,2,4,1
0,2,0,9,2,2,2
1,2,0,9,2,8,5
0,0,0,9,2,4,3
0,0,0,9,2,4,3
0,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,4,1
1,2,0,9,2,6,2
0,2,0,9,2,8,1
0,2,0,9,2,4,2
1,0,0,9,2,4,2
0,2,0,9,2,4,1
1,2,0,9,2,1,1
0,2,0,9,2,8,0
0,2,0,12,2,7,2
1,0,0,12,2,2,2
1,2,0,12,2,8,5
1,0,0,12,2,3,2
1,0,0,12,2,4,4
1,2,0,13,2,3,2
1,2,0,15,2,1,1
1,2,0,15,2,4,1
0,2,0,15,2,4,1
1,2,0,15,2,3,1
1,2,0,15,2,4,2
1,2,0,15,2,8,5
1,2,0,15,2,8,5
1,2,0,15,2,8,5
0,2,0,16,2,4,3
0,2,0,4,2,4,5
0,2,0,8,2,4,2
1,2,0,5,2,4,4
1,2,0,5,2,8,1
0,0,0,5,2,4,2
1,0,0,5,2,2,2
1,2,0,5,2,4,4
1,0,0,5,2,4,5
1,0,0,5,2,8,5
1,0,0,5,2,4,3
1,2,0,5,2,4,3
0,0,0,5,2,4,4
0,0,0,5,2,4,3
1,2,0,5,2,4,1
1,2,0,5,2,4,1
1,2,0,2,2,4,2
1,2,0,22,2,4,2
1,0,0,2,2,4,3
0,2,0,2,2,3,2
0,2,0,2,2,3,2
0,2,0,2,2,4,2
0,2,0,2,2,4,3
0,2,0,2,2,3,2
0,2,0,2,2,8,1
0,2,0,2,2,8,1
1,0,0,2,2,4,4
1,0,0,2,2,4,4
1,2,0,2,2,4,5
1,2,0,2,2,4,2
1,0,0,2,2,4,3
1,0,0,2,2,4,3
1,0,0,2,2,4,3
1,2,0,2,2,4,2
0,2,0,2,2,4,2
0,2,0,2,2,4,2
0,2,0,2,2,4,3
1,0,0,2,2,2,2
0,2,0,2,2,4,2
1,2,0,2,2,4,3
1,2,0,2,2,4,3
0,0,0,2,2,8,3
0,2,0,2,2,4,2
0,2,0,2,2,4,3
1,2,0,2,2,4,2
0,2,0,2,2,8,5
1,2,0,2,2,4,2
0,2,0,10,2,4,2
1,2,0,10,2,4,1
0,2,0,0,2,4,3
1,0,0,1,2,4,3
0,2,0,1,2,4,2
0,2,0,3,2,4,2
0,0,0,4,2,4,2
0,2,0,4,2,2,2
1,2,0,4,2,4,2
0,2,0,4,2,4,2
0,2,0,20,2,3,2
1,2,0,20,2,3,2
1,2,0,20,2,4,2
1,0,0,20,2,8,2
0,0,0,20,2,7,2
1,2,0,20,2,2,3
1,2,0,4,2,8,2
1,2,2,4,2,8,1
0,2,0,4,2,4,3
0,2,0,4,2,4,3
0,2,0,4,2,4,2
0,2,0,4,2,4,3
1,2,0,4,2,4,1
1,2,0,4,2,4,2
1,2,0,4,2,4,1
0,0,0,4,2,4,3
1,2,0,4,2,4,4
1,2,0,4,2,4,2
0,2,0,4,2,3,1
0,2,0,4,2,4,2
1,2,0,4,2,4,2
1,2,0,4,2,4,2
0,2,0,4,2,4,2
0,2,0,4,2,3,2
0,0,0,2,2,4,3
0,0,0,2,2,4,3
1,2,0,18,2,4,3
0,2,0,7,2,4,2
0,2,0,7,2,7,2
1,2,0,7,2,4,2
0,2,0,7,2,5,2
0,2,0,7,2,4,3
0,0,0,7,2,4,3
1,0,0,7,2,7,3
1,0,0,7,2,2,2
0,2,0,7,2,4,3
1,2,0,7,2,1,2
1,2,0,7,2,8,2
1,2,0,7,2,5,2
1,0,0,7,2,4,3
1,2,0,7,2,4,2
1,2,0,7,2,8,2
0,2,0,7,2,7,3
1,2,0,7,2,5,2
1,2,0,7,2,4,2
0,2,0,7,2,5,1
0,2,0,7,2,3,1
0,2,0,7,2,4,2
1,2,0,7,2,4,3
0,2,0,7,2,8,3
0,2,0,7,2,4,2
1,2,0,7,2,8,2
0,2,0,7,2,4,2
0,2,0,7,2,4,2
0,2,0,7,2,4,2
0,2,0,7,2,4,1
1,2,0,7,2,1,1
1,2,0,7,2,1,1
1,2,0,7,2,3,3
0,0,0,7,2,2,2
1,2,0,7,2,1,2
1,2,0,7,2,5,2
1,2,0,7,2,5,2
1,2,0,7,2,2,2
0,2,0,7,2,4,3
0,2,0,7,2,4,2
0,2,0,7,2,4,3
0,2,0,7,2,5,2
1,0,0,7,2,4,2
1,0,0,7,2,4,2
1,0,0,7,2,5,3
1,2,0,7,2,2,2
1,2,0,7,2,4,2
1,2,0,7,2,8,2
1,2,0,7,2,5,2
1,2,0,7,2,4,1
1,2,0,7,2,8,2
1,2,0,7,2,3,1
0,2,0,7,2,4,2
1,2,0,7,2,8,2
0,2,0,7,2,7,2
1,2,0,7,2,1,3
1,2,0,7,2,1,3
1,2,0,7,2,8,2
1,0,0,7,2,4,2
1,0,0,7,2,5,2
1,2,0,7,2,5,2
1,2,0,7,2,5,2
1,2,0,7,2,5,2
0,2,0,7,2,2,2
1,2,0,7,2,5,1
0,2,0,7,2,3,1
1,2,0,7,2,7,1
1,2,0,7,2,4,1
1,2,0,7,2,4,3
1,2,0,7,2,4,3
1,2,0,7,2,4,3
1,2,0,7,2,4,3
0,2,0,7,2,4,3
1,2,0,7,2,3,1
0,2,0,7,2,8,1
0,2,0,7,2,8,1
0,2,0,7,2,4,1
0,2,0,7,2,1,1
1,2,0,7,2,1,2
0,2,0,7,2,8,3
0,0,0,7,2,4,2
0,2,0,7,2,4,2
0,2,0,7,2,2,5
1,2,0,2,2,4,5
0,2,0,8,2,3,2
0,0,0,8,2,1,3
1,0,0,8,2,1,2
0,2,0,9,2,4,2
0,2,0,9,2,4,2
0,2,0,9,2,7,1
0,2,0,9,2,4,1
1,2,0,9,2,7,2
1,2,0,9,2,8,2
0,2,0,9,2,8,1
0,2,0,9,2,4,2
1,2,0,9,2,4,1
0,2,0,9,2,8,3
0,2,0,9,2,8,3
0,2,0,9,2,4,2
0,2,0,9,2,4,2
0,2,0,9,2,4,1
0,2,0,9,2,8,1
1,2,0,9,2,8,5
1,1,0,9,2,4,4
1,2,0,9,2,4,1
1,2,0,9,2,5,1
0,2,0,9,2,4,1
1,2,0,9,2,3,1
1,2,0,9,2,4,1
1,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,8,2
1,0,0,9,2,4,4
0,2,0,9,2,4,2
0,2,0,9,2,0,1
1,2,0,9,2,8,2
1,2,0,9,2,4,1
1,2,0,9,2,4,2
1,2,0,9,2,4,0
1,2,0,9,2,4,2
0,0,0,9,2,1,2
1,2,0,9,2,8,3
0,2,0,9,2,4,2
1,2,0,9,2,2,2
1,2,0,9,2,7,2
1,2,0,9,2,2,2
1,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,4,1
0,2,0,9,2,3,1
1,2,0,9,2,4,1
0,2,0,9,2,4,5
0,2,0,9,2,4,1
0,2,0,9,2,4,2
0,2,0,9,2,3,5
0,2,0,9,2,3,2
1,2,0,9,2,4,2
0,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,1,9,2,1,1
0,2,0,9,2,4,1
1,0,0,9,2,4,2
1,2,0,9,2,4,1
1,2,0,9,2,8,5
0,2,0,9,2,4,1
1,2,0,9,2,4,1
0,2,0,9,2,3,1
0,2,0,9,2,3,1
0,2,0,9,2,7,2
0,2,0,9,2,4,1
0,2,0,9,2,2,1
1,2,0,9,2,4,1
1,2,0,9,2,4,2
1,2,0,9,2,8,1
0,2,0,9,2,4,1
1,2,0,9,2,3,2
0,2,0,9,2,4,2
1,2,0,9,2,7,1
1,2,0,9,2,2,1
0,2,1,9,2,4,1
1,2,0,9,2,3,1
0,2,0,9,2,8,1
0,2,1,9,2,1,2
1,2,0,9,2,2,2
0,2,1,9,2,4,2
1,2,0,9,2,2,1
1,2,0,9,2,4,1
1,2,1,9,2,1,1
0,2,0,9,2,4,3
1,2,0,12,2,2,2
1,2,0,12,2,2,2
1,2,0,12,2,2,2
1,0,0,12,2,1,2
0,2,0,12,2,8,3
0,2,0,12,2,8,3
0,2,0,12,2,8,3
1,2,0,12,2,8,2
1,0,0,12,2,4,4
1,2,0,12,2,2,2
0,2,0,12,2,8,3
0,2,0,12,2,8,3
1,2,0,12,2,0,3
0,2,0,12,2,3,2
1,2,0,12,2,2,2
1,2,0,12,2,2,2
1,0,0,12,2,3,3
1,2,0,12,2,8,3
1,2,0,12,2,3,2
1,2,0,12,2,3,2
0,2,0,12,2,8,2
0,0,0,12,2,4,3
1,2,0,12,2,4,2
0,2,0,12,2,4,2
0,2,0,12,2,4,2
0,2,0,12,2,4,1
0,2,0,12,2,4,1
1,2,0,12,2,8,1
1,0,0,12,2,4,3
1,2,0,4,2,4,1
0,0,0,19,2,4,2
0,2,0,13,2,4,2
0,2,0,13,2,3,2
0,2,0,13,2,4,3
0,2,0,13,2,3,1
0,0,0,13,2,4,3
1,2,0,18,2,2,3
1,2,0,15,2,8,1
1,2,0,15,2,7,1
0,2,0,15,2,4,5
0,2,0,15,2,3,5
0,2,0,15,2,8,1
0,2,0,15,2,1,2
0,2,0,15,2,4,2
1,2,0,15,2,1,5
1,2,0,15,2,2,1
1,2,0,15,2,8,5
1,2,0,15,2,5,1
0,2,0,15,2,8,2
0,2,0,15,2,8,1
1,2,0,15,2,8,5
0,2,0,15,2,4,3
1,2,0,15,2,8,5
1,0,0,15,2,8,5
1,2,0,15,2,8,5
1,2,0,15,2,7,5
0,2,0,15,2,4,5
0,2,0,15,2,8,1
1,2,0,15,2,5,1
1,2,0,15,2,5,1
1,2,0,15,2,8,5
1,2,0,15,2,8,5
1,2,0,15,2,8,5
0,2,0,15,2,5,2
0,1,0,15,2,3,5
0,2,0,15,2,8,5
0,2,0,15,2,8,5
0,2,0,15,2,4,2
0,2,0,15,2,3,2
1,2,0,15,2,8,5
1,2,0,15,2,8,5
1,2,0,15,2,8,5
1,2,0,15,2,4,1
1,2,0,15,2,3,3
1,2,0,15,2,7,2
1,2,0,15,2,4,2
1,2,0,15,2,7,2
0,2,0,15,2,8,5
0,2,0,15,2,8,5
0,2,0,15,2,4,5
0,2,0,15,2,7,5
0,0,0,15,2,4,3
1,2,0,15,2,4,2
0,2,1,15,2,4,1
0,2,1,15,2,4,1
0,2,0,15,2,1,5
0,2,0,15,2,4,2
0,2,0,15,2,8,5
0,2,0,15,2,4,2
1,2,1,15,2,4,2
1,2,0,15,2,4,1
0,2,0,15,2,8,5
1,2,0,15,2,8,1
1,2,0,15,2,8,2
1,2,1,15,2,4,3
1,2,0,15,2,8,5
1,2,0,15,2,8,5
0,2,0,15,2,4,1
0,2,0,15,2,3,1
1,2,0,15,2,4,3
1,2,0,15,2,8,5
0,2,0,15,2,8,5
0,2,0,15,2,4,5
1,0,0,15,2,8,5
1,2,0,15,2,4,2
1,2,0,15,2,4,1
1,2,0,15,2,4,2
1,2,0,15,2,4,2
0,0,0,15,2,4,1
0,2,1,15,2,4,1
1,2,0,15,2,4,1
1,2,0,15,2,3,1
0,2,0,18,2,8,5
0,2,0,18,2,8,5
1,2,0,16,2,5,2
0,2,0,16,2,8,5
1,0,0,16,2,2,4
1,0,0,8,2,3,3
0,2,0,18,2,4,3
1,2,0,13,2,1,2
0,2,0,13,2,4,2
0,2,0,13,2,2,2
1,0,0,13,2,5,3
1,2,0,13,2,4,1
0,0,0,13,2,4,3
0,2,0,13,2,8,2
0,2,0,13,2,7,3
0,2,0,13,2,4,2
1,2,0,13,2,8,2
0,2,0,13,2,4,2
0,0,0,2,2,7,2
1,2,0,18,2,4,2
1,0,1,5,4,7,3
0,2,0,6,4,4,2
0,2,1,0,4,4,2
1,2,1,7,4,8,3
1,2,1,7,4,8,2
0,2,0,9,4,4,1
0,2,0,9,4,8,1
0,2,0,9,4,4,2
0,2,1,9,4,2,1
0,2,1,9,4,4,1
0,2,0,9,4,4,1
0,2,1,9,4,4,1
0,2,0,9,4,3,2
0,2,0,9,4,4,1
0,2,0,9,4,4,1
1,2,0,9,4,7,2
1,2,0,9,4,4,3
0,2,1,9,4,8,3
0,2,0,15,4,8,1
0,2,0,15,4,4,1
0,2,1,15,4,2,1
0,2,0,15,4,7,1
0,2,0,15,4,4,1
0,2,0,15,4,5,1
0,0,0,5,4,3,2
0,2,0,5,4,4,2
0,0,0,2,4,4,3
0,2,0,0,4,4,2
0,2,0,0,4,4,2
1,2,0,0,4,4,1
0,2,0,6,4,4,3
1,2,0,9,4,5,2
0,0,0,9,4,4,4
0,2,0,15,4,8,2
1,2,0,15,4,4,5
0,2,0,15,4,4,3
0,2,0,15,4,4,2
0,2,0,15,4,4,2
1,2,0,15,4,8,5
0,2,0,15,4,8,5
0,2,0,16,4,4,2
0,2,0,2,4,4,3
0,2,0,2,4,4,4
0,2,0,0,4,1,2
0,2,0,0,4,3,2
0,2,0,15,4,4,4
1,2,0,15,4,3,1
1,2,0,15,4,3,1
0,0,0,18,4,4,3
1,2,2,9,4,8,2
1,2,0,2,4,4,3
0,2,0,0,4,4,2
0,2,0,0,4,4,2
0,2,1,0,4,4,3
0,2,0,0,4,8,1
1,0,0,2,4,8,5
1,0,0,2,4,8,5
0,0,0,7,4,4,3
0,2,0,9,4,7,1
0,2,0,9,4,7,1
0,2,0,9,4,5,2
0,2,0,9,4,4,1
0,2,0,9,4,4,1
0,2,1,9,4,2,3
0,2,0,9,4,4,1
0,2,1,9,4,4,1
0,2,1,9,4,4,1
1,2,0,12,4,8,2
1,2,0,12,4,8,2
1,0,0,12,4,4,4
1,0,0,12,4,4,4
1,2,0,15,4,4,0
0,2,0,15,4,4,3
1,2,0,15,4,8,5
0,2,0,8,4,4,3
0,2,0,18,4,4,2
0,2,0,16,4,4,2
0,2,0,16,4,4,2
0,2,0,22,4,4,4
0,2,0,5,4,4,1
1,2,0,2,4,8,4
0,2,0,2,4,8,5
1,2,0,0,4,7,1
0,2,0,0,4,4,2
0,0,0,0,4,7,2
0,2,0,0,4,4,2
0,2,0,0,4,4,2
0,2,0,0,4,4,1
0,2,0,0,4,4,2
1,2,0,0,4,4,1
0,2,0,0,4,4,4
0,2,0,0,4,4,4
1,2,0,0,4,3,2
0,0,0,19,4,3,3
0,2,0,3,4,4,1
0,2,0,6,4,4,3
0,0,0,7,4,4,2
0,2,0,9,4,4,1
1,2,0,9,4,7,5
1,2,0,9,4,7,5
0,0,0,9,4,7,2
0,0,0,9,4,4,2
0,2,0,9,4,4,1
0,2,0,9,4,4,2
0,2,0,9,4,4,2
1,2,0,9,4,4,1
0,0,0,12,4,4,4
0,2,0,15,4,4,3
1,2,0,15,4,8,5
0,0,0,8,4,4,3
0,2,0,2,4,4,4
0,2,0,5,4,5,5
0,2,0,5,4,7,1
1,0,4,5,4,8,2
1,2,0,5,4,2,4
1,0,0,5,4,8,2
0,2,0,5,4,4,5
0,2,0,5,4,4,2
1,2,0,22,4,7,2
0,2,0,2,4,4,2
0,2,0,2,4,4,2
0,2,0,2,4,4,1
0,2,0,6,4,4,1
0,0,0,0,4,6,2
0,2,0,0,4,4,2
0,2,0,0,4,4,3
0,2,0,0,4,8,2
1,2,0,0,4,4,1
0,2,0,0,4,4,1
0,2,0,0,4,4,2
0,2,0,0,4,4,2
0,0,0,2,4,2,4
0,0,0,2,4,4,2
0,2,0,4,4,4,1
1,2,0,4,4,7,2
0,2,0,4,4,4,1
0,2,0,2,4,4,2
0,2,0,2,4,8,2
0,2,0,2,4,4,4
1,2,0,6,4,3,2
0,2,0,6,4,1,2
0,2,0,6,4,7,1
0,2,0,6,4,4,2
0,0,0,7,4,4,3
0,0,0,7,4,4,3
0,2,0,20,4,7,2
0,2,0,20,4,7,2
0,2,0,7,4,4,3
0,2,0,7,4,8,1
0,2,0,7,4,4,1
1,2,0,7,4,2,2
1,2,0,7,4,2,3
0,2,0,2,4,4,5
0,2,0,4,4,8,2
0,2,0,9,4,4,1
0,2,0,9,4,4,1
0,2,0,9,4,8,5
0,2,0,9,4,1,1
0,2,0,9,4,1,1
0,2,0,9,4,5,1
0,2,0,9,4,4,2
1,2,0,9,4,5,2
0,2,0,9,4,3,1
0,2,0,9,4,8,1
1,2,0,9,4,4,1
0,2,0,9,4,2,5
0,2,1,9,4,2,5
0,2,0,9,4,3,1
0,2,0,9,4,3,1
0,2,0,9,4,5,2
1,0,0,9,4,4,3
0,2,0,9,4,4,2
0,2,1,9,4,8,1
0,2,0,13,4,4,2
1,2,0,13,4,6,2
0,2,0,13,4,8,2
0,0,0,15,4,4,4
1,2,0,15,4,8,1
1,2,0,15,4,4,1
0,2,0,15,4,4,4
0,2,0,15,4,4,4
0,2,0,15,4,4,4
0,1,0,15,4,4,4
0,1,0,15,4,4,4
0,2,0,15,4,7,3
0,2,0,15,4,4,3
0,2,0,15,4,4,2
0,2,0,15,4,4,1
0,2,0,15,4,4,5
0,2,0,15,4,4,5
0,2,0,15,4,8,5
1,2,0,15,4,8,2
1,2,0,15,4,4,1
0,2,0,15,4,3,2
0,2,0,15,4,8,4
0,2,0,15,4,8,2
1,2,0,15,4,4,2
0,2,0,15,4,4,5
1,2,0,15,4,2,3
0,2,0,15,4,7,1
1,2,0,15,4,1,1
1,0,0,15,4,4,3
1,2,0,15,4,8,5
1,2,0,15,4,4,2
0,2,0,15,4,4,3
0,2,0,15,4,4,3
0,2,0,15,4,8,2
1,2,0,15,4,3,1
0,2,0,15,4,4,5
0,2,0,15,4,8,1
0,2,0,15,4,8,5
1,0,0,15,4,8,5
1,0,0,15,4,8,5
0,2,0,15,4,4,5
0,2,0,15,4,3,2
0,2,0,15,4,8,2
1,2,0,15,4,2,1
1,2,0,15,4,4,2
0,2,0,15,4,4,2
0,2,0,15,4,4,5
0,2,0,15,4,4,4
0,2,0,15,4,5,5
0,2,0,15,4,5,5
0,2,0,15,4,4,2
1,2,0,15,4,8,3
0,2,0,15,4,8,5
0,2,0,15,4,4,4
0,2,0,15,4,4,4
0,2,0,15,4,3,2
0,2,0,15,4,3,2
0,2,0,15,4,4,5
1,2,0,15,4,8,1
1,2,0,15,4,2,5
0,2,0,15,4,3,2
0,2,0,15,4,3,1
0,2,0,15,4,8,5
0,2,0,15,4,4,3
0,2,0,15,4,3,0
1,2,0,15,4,3,3
0,2,0,15,4,4,2
0,2,0,15,4,4,2
0,2,0,15,4,4,2
1,0,0,15,4,8,5
1,2,0,15,4,4,2
0,2,0,16,4,3,1
0,2,0,4,4,4,5
0,2,0,13,4,4,3
0,2,1,13,4,0,3
0,2,1,13,4,4,4
0,0,0,5,4,4,5
1,2,0,6,4,4,4
1,2,0,7,4,5,2
0,2,0,7,4,4,1
0,0,0,11,4,4,3
0,2,0,15,4,4,1
0,2,0,0,4,4,1
0,2,0,0,4,4,3
0,2,0,0,4,3,2
0,0,1,0,4,5,1
0,2,1,0,4,7,1
1,2,0,4,4,7,2
0,2,4,9,4,8,1
0,2,1,9,4,5,1
0,2,0,9,4,5,1
0,0,0,9,4,4,3
0,2,0,15,4,5,2
0,2,0,15,4,3,1
0,2,0,15,4,3,1
0,2,0,4,4,2,2
0,2,0,5,4,4,2
1,2,0,2,4,3,2
0,2,0,2,4,4,5
0,2,0,2,4,4,1
0,0,0,6,4,8,3
0,2,0,6,4,4,1
0,2,0,0,4,2,2
0,2,0,0,4,4,3
0,2,0,0,4,8,2
0,2,0,0,4,4,2
1,2,0,0,4,4,2
1,0,0,4,4,4,3
1,2,0,20,4,5,2
0,2,0,6,4,6,2
