0,1,2,3,4,position
-53.0,-67.0,-65.0,-58.0,-76.0,10
-53.0,-67.0,-65.0,-60.0,-76.0,10
-53.0,-67.0,-65.0,-56.0,-76.0,10
-53.0,-67.0,-65.0,-56.0,-77.0,10
-53.0,-67.0,-68.0,-56.0,-77.0,10
-53.0,-82.0,-68.0,-56.0,-77.0,10
-53.0,-82.0,-68.0,-59.0,-77.0,10
-53.0,-82.0,-68.0,-59.0,-75.0,10
-53.0,-82.0,-63.0,-59.0,-75.0,10
-54.0,-82.0,-63.0,-59.0,-75.0,10
-54.0,-66.0,-63.0,-59.0,-75.0,10
-54.0,-66.0,-63.0,-53.0,-75.0,10
-54.0,-66.0,-63.0,-53.0,-73.0,10
-54.0,-66.0,-69.0,-53.0,-73.0,10
-52.0,-66.0,-69.0,-53.0,-73.0,10
-52.0,-73.0,-69.0,-53.0,-73.0,10
-52.0,-73.0,-69.0,-57.0,-73.0,10
-52.0,-73.0,-69.0,-57.0,-75.0,10
-52.0,-73.0,-65.0,-57.0,-75.0,10
-52.0,-69.0,-65.0,-57.0,-75.0,10
-52.0,-69.0,-65.0,-60.0,-75.0,10
-52.0,-69.0,-65.0,-60.0,-74.0,10
-52.0,-69.0,-70.0,-60.0,-74.0,10
-54.0,-69.0,-70.0,-60.0,-74.0,10
-54.0,-69.0,-70.0,-56.0,-74.0,10
-54.0,-69.0,-70.0,-56.0,-80.0,10
-54.0,-69.0,-65.0,-56.0,-80.0,10
-52.0,-69.0,-65.0,-56.0,-80.0,10
-52.0,-69.0,-65.0,-60.0,-80.0,10
-52.0,-69.0,-69.0,-60.0,-80.0,10
-55.0,-69.0,-69.0,-60.0,-80.0,10
-55.0,-71.0,-69.0,-60.0,-80.0,10
-55.0,-71.0,-69.0,-56.0,-80.0,10
-55.0,-71.0,-63.0,-56.0,-80.0,10
-55.0,-67.0,-63.0,-56.0,-80.0,10
-55.0,-67.0,-63.0,-61.0,-80.0,10
-55.0,-67.0,-63.0,-61.0,-82.0,10
-55.0,-67.0,-70.0,-61.0,-82.0,10
-55.0,-67.0,-70.0,-56.0,-82.0,10
-55.0,-67.0,-70.0,-57.0,-82.0,10
-55.0,-67.0,-65.0,-57.0,-82.0,10
-53.0,-67.0,-65.0,-57.0,-82.0,10
-53.0,-66.0,-65.0,-57.0,-82.0,10
-53.0,-66.0,-65.0,-63.0,-82.0,10
-53.0,-66.0,-65.0,-63.0,-77.0,10
-55.0,-66.0,-65.0,-63.0,-77.0,10
-55.0,-66.0,-65.0,-56.0,-77.0,10
-55.0,-66.0,-65.0,-56.0,-81.0,10
-52.0,-66.0,-65.0,-56.0,-81.0,10
-52.0,-68.0,-65.0,-56.0,-81.0,10
-52.0,-68.0,-65.0,-56.0,-75.0,10
-52.0,-68.0,-65.0,-57.0,-75.0,10
-53.0,-68.0,-65.0,-62.0,-74.0,10
-53.0,-68.0,-69.0,-62.0,-74.0,10
-55.0,-68.0,-69.0,-62.0,-74.0,10
-55.0,-73.0,-69.0,-62.0,-74.0,10
-55.0,-73.0,-69.0,-57.0,-74.0,10
-55.0,-73.0,-69.0,-57.0,-79.0,10
